Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,8/1/2024,SA/2024/28,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,3650,326675000,3650,3650,326675000,3650,3650,0,47.2,1,3650,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,527.8,47211710,527.8,527.8,47211710,527.8,527.8,0,45.12,1,527.8,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,46.06,1,370,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,SA/2024/1085,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,330,29535000,330,330,29535000,330,366.3,3248850,21.07,2,330,2
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,5/4/2024,SA/2024/299,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,1150,102925000,1150,1150,102925000,1150,1276.5,11321750,41.86,3,1150,3
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,31/10/2024,SA/2024/1183,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,26.7,1,200,1
SEA FREIGHT,CLEARANCE ,"Hadath behind mechanic
Al khalil Mansour bldg.
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1507,Food and more company,OPERATION ACTIVITIES,USD,8/12/2023,SA/2023/664,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,467,41656376.65,467,467,41656376.65,467,467,0,24.02,2,467,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/283,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,175,15662500,175,175,15662500,175,175,0,21.32,1,175,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,5/9/2023,SA/2023/90,AF-EXP-EXW,,EX WORKS FOR AIRFREIGH CARGO,Shipment,Pcs,2019,299,26700700,299,299,26700700,299,299,0,39.94,3,299,3
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,66,5903700,66,66,5903700,66,66,0,30.43,2,66,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-STMP(VAT),,STAMP,Shipment,Pcs,2019,10,893000,10,10,893000,10,11.1,94050,29.94,1,10,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,33,2953500,33,33,2953500,33,33,0,16.41,1,33,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,18/07/2024,SA/2024/592,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,365,32667500,365,365,32667500,365,365,0,13.66,1,365,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,22.76,1,370,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,527.8,47238100,527.8,527.8,47238100,527.8,527.8,0,40.26,1,527.8,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,22/12/2023,SA/2023/706,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,346,30967000,346,346,30967000,346,346,0,37.8,1,346,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,6/3/2024,SA/2024/191,SF-IMP-ADD-IMP ,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,1000000,1000000,11.17,1000000,1000000,11.17,1000000,0,17.37,1,1000000,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-SEC,,SECURITY FOR AIR FREIGHT CARGO,Shipment,Pcs,2019,10,894500,10,10,894500,10,10,0,21.96,1,10,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-COO,,CERTIFICATE OF ORIGIN FEE,Shipment,Pcs,2019,100,8950000,100,100,8950000,100,100,0,29.12,1,100,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,975,87213750,975,975,87213750,975,975,0,42.24,1,975,1
STORAGE/WAREHOUSING,COCODILLE,,,,,,,,,,,,,,,,SA/2024/94,STG-INS,,INSURANCE FOR STORED GOODS,Shipment,Pcs,2019,447,40006500,447,447,40006500,447,447,0,48.54,1,447,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,400,35800000,400,400,35800000,400,400,0,41.48,1,400,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-LOC-TRP-VAT,,LOCAL TRANSPORTATION (VAT),Shipment,Pcs,2019,200,17840000,200,200,17840000,200,222,1881000,37.77,1,200,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/700,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,110,9845000,110,110,9845000,110,110,0,28.27,1,110,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-COO,,CERTIFICATE OF ORIGIN FEE,Shipment,Pcs,2019,50,4472500,50,50,4472500,50,50,0,37.97,1,53.78,1
AIR FREIGHT,EXPORT,"Batroun, Cheka
William Center",,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-013127,540,SWISCO SARL,OPERATION ACTIVITIES,USD,18/09/2024,SA/2024/970,AF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,400,35800000,400,400,35800000,400,400,0,41.67,1,400,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,14088000,14088000,157.36296,14088000,14088000,157.36296,14088000,0,29.18,5,14088000,5
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/951,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,135,12082500,135,135,12082500,135,135,0,14.6,1,135,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,28/11/2024,SA/2024/1281,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,1424,127448000,1424,1424,127448000,1424,1424,0,47.9,4,1424,4
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/525,LF-EXP-TRP,,LAND  TRANSPORTATION - EXPORT,Shipment,Pcs,2019,24000,2148000000,24000,24000,2148000000,24000,24000,0,18.14,1,24000,1
STORAGE/WAREHOUSING,COCODILLE,,,,,,,,,,,,,,,30/10/2023,SA/2023/313,STG-COC-VAT,,STORAGE AT COCODILLE-VAT,Shipment,Pcs,2019,1200,107340000,1200,1200,107340000,1200,1332,11286000,38.93,3,1200,3
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-LOC-TRSP,,LOCAL TRANSPORTATION FOR EXPORTED CARGO,Shipment,Pcs,2019,350,31325000,350,350,31325000,350,350,0,42.15,1,350,1
AIR FREIGHT,EXPORT,CHTOURA - LEBANON,,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1560,TOP GREEN FOR VEGETABLES AND FRUITS,OPERATION ACTIVITIES,USD,7/5/2024,SA/2024/379,AF-EXP-EXW,,EX WORKS FOR AIRFREIGH CARGO,Shipment,Pcs,2019,100,8950000,100,100,8950000,100,100,0,43.37,1,100,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,12/9/2024,SA/2024/921,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,44.13,1,200,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17890000,200,200,17890000,200,200,0,37.6,1,200,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,20/03/2024,SA/2024/244,SF-IMP-BANK,,BANK CHARGES,Shipment,Pcs,2019,4000000,4000000,44.68,4000000,4000000,44.68,4000000,0,49.29,1,4000000,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/835,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,90,8055000,90,90,8055000,90,90,0,10.6,1,90,1
